step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.82203,0,0,0,0,0,0
25,kimi,4.82235,0,0,0,0,0,0
25,srd,4.8201,0,0.931581,0.901823,0.887102,0.882385,0.92633
25,srd_f,4.82152,0,0.909953,0.912959,0.911365,0.914553,0.913351
50,exact,4.81981,0,0,0,0,0,0
50,kimi,4.8151,0,0,0,0,0,0
50,srd,4.81915,0,0.876068,0.797876,0.779235,0.774437,0.870502
50,srd_f,4.81767,0,0.864185,0.86863,0.862879,0.867231,0.866254
75,exact,4.82174,0,0,0,0,0,0
75,kimi,4.81641,0,0,0,0,0,0
75,srd,4.8207,0,0.790605,0.689999,0.690795,0.689061,0.813931
75,srd_f,4.82219,0,0.862233,0.858483,0.85628,0.861771,0.863915
100,exact,4.80838,0,0,0,0,0,0
100,kimi,4.80517,0,0,0,0,0,0
100,srd,4.80292,0,0.67032,0.543735,0.549014,0.550663,0.762695
100,srd_f,4.8102,0,0.841627,0.843776,0.838772,0.841659,0.844846
125,exact,4.7858,0,0,0,0,0,0
125,kimi,4.77738,0,0,0,0,0,0
125,srd,4.77445,0,0.554267,0.447636,0.460147,0.463486,0.720855
125,srd_f,4.94419,0,0.833219,0.830727,0.836144,0.830741,0.828519
150,exact,4.80713,0,0,0,0,0,0
150,kimi,4.81163,0,0,0,0,0,0
150,srd,4.80775,0,0.434134,0.384588,0.39465,0.398305,0.684357
150,srd_f,4.80812,0,0.833864,0.834709,0.834119,0.834654,0.839727
175,exact,4.8425,0,0,0,0,0,0
175,kimi,4.84649,0,0,0,0,0,0
175,srd,4.84718,0,0.327019,0.347113,0.349726,0.351355,0.66651
175,srd_f,4.84979,0,0.816562,0.820508,0.818406,0.822577,0.819748
200,exact,4.7595,0.03125,0,0,0,0,0
200,kimi,4.77777,0,0,0,0,0,0
200,srd,4.77111,0,0.29291,0.324253,0.315,0.316358,0.648169
200,srd_f,4.7655,0,0.902016,0.905472,0.906262,0.903268,0.904952
225,exact,4.81839,0,0,0,0,0,0
225,kimi,4.81921,0,0,0,0,0,0
225,srd,4.82091,0,0.286277,0.310742,0.297566,0.301715,0.631706
225,srd_f,4.81809,0,0.80935,0.80753,0.810003,0.805594,0.802498
250,exact,4.82416,0.03125,0,0,0,0,0
250,kimi,4.81519,0.03125,0,0,0,0,0
250,srd,4.81865,0.03125,0.284786,0.30462,0.289446,0.292108,0.623794
250,srd_f,4.81901,0.03125,0.78798,0.782915,0.780197,0.782826,0.78463
275,exact,4.78639,0,0,0,0,0,0
275,kimi,4.78668,0.03125,0,0,0,0,0
275,srd,4.7866,0.03125,0.282757,0.303055,0.295294,0.300303,0.612047
275,srd_f,4.78722,0.03125,0.765251,0.766057,0.767966,0.763577,0.763828
300,exact,4.78855,0,0,0,0,0,0
300,kimi,4.79762,0,0,0,0,0,0
300,srd,4.80347,0,0.284041,0.300977,0.294404,0.300945,0.608062
300,srd_f,4.79806,0,0.764422,0.75956,0.757003,0.762402,0.755209
325,exact,4.78747,0,0,0,0,0,0
325,kimi,4.78469,0,0,0,0,0,0
325,srd,4.78062,0,0.288444,0.30634,0.298409,0.301493,0.597637
325,srd_f,4.78183,0,0.759215,0.756153,0.758305,0.756698,0.760759
350,exact,4.7983,0,0,0,0,0,0
350,kimi,4.78864,0.09375,0,0,0,0,0
350,srd,4.79969,0,0.288591,0.302273,0.294246,0.295368,0.595209
350,srd_f,4.80401,0,0.745441,0.749546,0.75265,0.749344,0.749939
375,exact,4.80498,0,0,0,0,0,0
375,kimi,4.80153,0,0,0,0,0,0
375,srd,4.80757,0,0.291521,0.305611,0.295879,0.297017,0.590901
375,srd_f,4.80104,0,0.739008,0.746679,0.754747,0.74937,0.743039
400,exact,4.82333,0,0,0,0,0,0
400,kimi,4.81625,0,0,0,0,0,0
400,srd,4.82287,0,0.285116,0.304038,0.298023,0.299345,0.586345
400,srd_f,4.8266,0,0.765307,0.769775,0.772455,0.771643,0.770624
425,exact,4.77004,0,0,0,0,0,0
425,kimi,4.77599,0,0,0,0,0,0
425,srd,4.77441,0,0.28313,0.299487,0.290237,0.29031,0.57624
425,srd_f,4.77259,0,0.750657,0.754312,0.762101,0.746599,0.752779
450,exact,4.81863,0,0,0,0,0,0
450,kimi,4.81281,0,0,0,0,0,0
450,srd,4.81658,0,0.281177,0.295855,0.286172,0.285814,0.568403
450,srd_f,4.81047,0,0.740492,0.741077,0.748598,0.741925,0.750729
475,exact,4.79843,0,0,0,0,0,0
475,kimi,4.7952,0,0,0,0,0,0
475,srd,4.8019,0,0.281184,0.292951,0.284337,0.283997,0.564829
475,srd_f,4.80021,0,0.726239,0.735681,0.730288,0.736788,0.73423
500,exact,4.78982,0.03125,0,0,0,0,0
500,kimi,4.79658,0,0,0,0,0,0
500,srd,4.79506,0.03125,0.280499,0.292139,0.283664,0.283788,0.559826
500,srd_f,4.79306,0.03125,0.735961,0.735161,0.721921,0.731588,0.739119
525,exact,4.79064,0,0,0,0,0,0
525,kimi,4.79105,0,0,0,0,0,0
525,srd,4.79122,0,0.280619,0.290692,0.282609,0.283036,0.554634
525,srd_f,4.78892,0,0.732151,0.731848,0.744559,0.731412,0.72672
550,exact,4.786,0,0,0,0,0,0
550,kimi,4.78686,0,0,0,0,0,0
550,srd,4.79151,0,0.279813,0.289187,0.281803,0.2819,0.549375
550,srd_f,4.78664,0,0.725798,0.728908,0.737284,0.729141,0.72866
575,exact,4.7548,0.03125,0,0,0,0,0
575,kimi,4.7636,0.03125,0,0,0,0,0
575,srd,4.7603,0.03125,0.280776,0.289584,0.282968,0.282857,0.543982
575,srd_f,4.75375,0.03125,0.714599,0.725003,0.712302,0.724844,0.730397
600,exact,4.82668,0,0,0,0,0,0
600,kimi,4.82401,0,0,0,0,0,0
600,srd,4.82756,0,0.279506,0.288935,0.282591,0.282681,0.538995
600,srd_f,4.82851,0,0.719372,0.723972,0.725214,0.720162,0.726895
