policy,rho,answer_ce,answer_acc
srd_top,0.1,4.79489,0
random,0.1,4.7948,0
positional,0.1,4.7953,0
srd_top,0.25,4.79468,0
random,0.25,4.7961,0
positional,0.25,4.7953,0
exact_ref,1,4.79529,0
linear_ref,0,4.79501,0
