policy,rho,answer_ce,answer_acc
srd_top,0.1,4.79441,0
random,0.1,4.79577,0
positional,0.1,4.79171,0.03125
srd_top,0.25,4.79294,0
random,0.25,4.79568,0
positional,0.25,4.79171,0.03125
exact_ref,1,4.7917,0.03125
linear_ref,0,4.79505,0
