step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.85246,0,0,0,0,0,0
25,kimi,4.85137,0,0,0,0,0,0
25,srd,4.85218,0,0.922398,0.899935,0.882257,0.884272,0
25,srd_f,4.85315,0,0.911163,0.912496,0.913189,0.911925,0
50,exact,4.82865,0,0,0,0,0,0
50,kimi,4.83171,0,0,0,0,0,0
50,srd,4.83005,0,0.82861,0.789756,0.769806,0.770927,0
50,srd_f,4.82944,0,0.864844,0.863002,0.865693,0.862979,0
75,exact,4.86204,0,0,0,0,0,0
75,kimi,4.84956,0,0,0,0,0,0
75,srd,4.86224,0,0.681186,0.653401,0.651491,0.651572,0
75,srd_f,4.85815,0,0.847665,0.848642,0.852105,0.848584,0
100,exact,4.80737,0,0,0,0,0,0
100,kimi,4.81012,0,0,0,0,0,0
100,srd,4.80845,0,0.481848,0.481386,0.515865,0.515137,0
100,srd_f,4.80709,0,0.838668,0.838693,0.837514,0.838574,0
125,exact,4.71405,0.03125,0,0,0,0,0
125,kimi,4.72033,0.03125,0,0,0,0,0
125,srd,4.71849,0.03125,0.331954,0.359861,0.412555,0.411821,0
125,srd_f,4.72017,0.03125,0.829898,0.828459,0.824388,0.827637,0
150,exact,4.74578,0,0,0,0,0,0
150,kimi,4.75518,0,0,0,0,0,0
150,srd,4.75592,0,0.294516,0.311803,0.351864,0.35125,0
150,srd_f,4.75199,0,0.811095,0.818169,0.818406,0.818854,0
175,exact,4.87006,0,0,0,0,0,0
175,kimi,4.87977,0,0,0,0,0,0
175,srd,4.88317,0,0.287017,0.297878,0.314358,0.314171,0
175,srd_f,4.87985,0,0.802663,0.810921,0.806431,0.810636,0
200,exact,4.84678,0,0,0,0,0,0
200,kimi,4.85034,0,0,0,0,0,0
200,srd,4.84811,0,0.28354,0.291088,0.294807,0.295304,0
200,srd_f,4.83668,0,0.805981,0.80645,0.798876,0.806912,0
225,exact,4.84649,0,0,0,0,0,0
225,kimi,4.84691,0,0,0,0,0,0
225,srd,4.84996,0,0.282517,0.288421,0.287969,0.28812,0
225,srd_f,4.84872,0,0.808929,0.802907,0.805104,0.80076,0
250,exact,4.80304,0.03125,0,0,0,0,0
250,kimi,4.8114,0,0,0,0,0,0
