step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,8.60543,0,0,0,0,0,0
25,kimi,8.4038,0,0,0,0,0,0
25,srd,8.66562,0,0.937497,0.912596,0.932334,0.935569,0.9335
25,srd_f,8.7766,0,0.918811,0.917351,0.91635,0.919022,0.917073
50,exact,4.90117,0,0,0,0,0,0
50,kimi,6.25596,0,0,0,0,0,0
50,srd,5.07328,0,0.949463,0.860772,0.922364,0.927115,0.917249
50,srd_f,5.11397,0,0.892076,0.891292,0.897079,0.891842,0.896784
75,exact,4.73266,0,0,0,0,0,0
75,kimi,5.17451,0,0,0,0,0,0
75,srd,4.8454,0,0.951305,0.777787,0.910943,0.917622,0.895095
75,srd_f,4.95634,0,0.878081,0.875039,0.873949,0.875936,0.879536
100,exact,4.28711,0.03125,0,0,0,0,0
100,kimi,4.6762,0.03125,0,0,0,0,0
100,srd,4.54572,0.03125,0.949248,0.687168,0.899993,0.907086,0.869517
100,srd_f,4.62053,0,0.856814,0.85257,0.839552,0.850704,0.849889
125,exact,4.32214,0.03125,0,0,0,0,0
125,kimi,4.43703,0.03125,0,0,0,0,0
125,srd,4.33122,0.03125,0.94753,0.604093,0.867054,0.87476,0.845268
125,srd_f,4.30346,0.03125,0.832077,0.827739,0.835952,0.827745,0.827279
150,exact,4.45729,0,0,0,0,0,0
150,kimi,4.3968,0,0,0,0,0,0
150,srd,4.77412,0.03125,0.943565,0.524987,0.854067,0.862861,0.826814
150,srd_f,4.73311,0,0.806398,0.806101,0.804484,0.805682,0.799497
175,exact,4.12139,0,0,0,0,0,0
175,kimi,4.10931,0,0,0,0,0,0
175,srd,4.11716,0,0.941984,0.478039,0.85068,0.859008,0.826027
175,srd_f,4.15304,0,0.823807,0.820817,0.816045,0.818339,0.818254
200,exact,4.33685,0,0,0,0,0,0
200,kimi,4.3619,0,0,0,0,0,0
200,srd,4.35856,0,0.940237,0.44168,0.842024,0.85051,0.818866
200,srd_f,4.32433,0,0.808017,0.80619,0.798845,0.806686,0.799719
225,exact,4.23249,0.09375,0,0,0,0,0
225,kimi,4.25108,0.09375,0,0,0,0,0
225,srd,4.23119,0.0625,0.935861,0.409858,0.839729,0.848061,0.811869
225,srd_f,4.22636,0.09375,0.803955,0.792363,0.778372,0.789487,0.798962
250,exact,4.24074,0,0,0,0,0,0
250,kimi,4.22687,0,0,0,0,0,0
250,srd,4.21714,0,0.933064,0.384686,0.827103,0.836609,0.801629
250,srd_f,4.21432,0,0.766742,0.783958,0.777525,0.786532,0.781382
275,exact,4.28564,0.03125,0,0,0,0,0
275,kimi,4.27932,0,0,0,0,0,0
275,srd,4.27575,0,0.930458,0.363387,0.816275,0.827003,0.793861
275,srd_f,4.29367,0,0.774506,0.774083,0.775175,0.780163,0.76739
300,exact,4.21897,0,0,0,0,0,0
300,kimi,4.21642,0.03125,0,0,0,0,0
300,srd,4.20949,0,0.928046,0.357684,0.806118,0.817985,0.786965
300,srd_f,4.20808,0,0.793367,0.781051,0.786195,0.782948,0.78064
325,exact,4.20827,0,0,0,0,0,0
325,kimi,4.20168,0,0,0,0,0,0
325,srd,4.20475,0,0.926037,0.347262,0.794696,0.808375,0.782405
325,srd_f,4.19879,0,0.773629,0.772289,0.773344,0.777472,0.773409
350,exact,4.25144,0,0,0,0,0,0
350,kimi,4.24026,0,0,0,0,0,0
350,srd,4.24234,0,0.923991,0.336072,0.78559,0.80007,0.776922
350,srd_f,4.24769,0,0.768614,0.764064,0.753705,0.770393,0.76443
375,exact,4.26284,0.03125,0,0,0,0,0
375,kimi,4.27224,0,0,0,0,0,0
375,srd,4.28205,0.03125,0.921675,0.333199,0.77548,0.790224,0.771527
375,srd_f,4.27408,0.03125,0.768975,0.760843,0.762617,0.760853,0.761413
400,exact,4.22925,0,0,0,0,0,0
400,kimi,4.21739,0,0,0,0,0,0
400,srd,4.22132,0,0.919476,0.3283,0.769175,0.782922,0.766224
400,srd_f,4.21633,0,0.749603,0.755073,0.756375,0.749898,0.754377
425,exact,4.2839,0.03125,0,0,0,0,0
425,kimi,4.28855,0.03125,0,0,0,0,0
425,srd,4.2839,0.03125,0.918386,0.32135,0.762558,0.775072,0.759116
425,srd_f,4.28427,0.03125,0.760549,0.752559,0.760714,0.754857,0.760898
450,exact,4.14224,0.0625,0,0,0,0,0
450,kimi,4.13281,0.09375,0,0,0,0,0
450,srd,4.14114,0.0625,0.91717,0.317089,0.756075,0.767914,0.754049
450,srd_f,4.14356,0.0625,0.738545,0.745454,0.754387,0.739568,0.741633
475,exact,4.10686,0.03125,0,0,0,0,0
475,kimi,4.09426,0.03125,0,0,0,0,0
475,srd,4.10563,0.03125,0.914422,0.311232,0.748501,0.760392,0.747341
475,srd_f,4.1022,0.0625,0.753293,0.741657,0.74676,0.738161,0.747738
500,exact,4.20293,0,0,0,0,0,0
500,kimi,4.19301,0,0,0,0,0,0
500,srd,4.19317,0,0.911579,0.310186,0.741246,0.753412,0.741314
500,srd_f,4.2009,0.03125,0.737833,0.736595,0.753427,0.740531,0.731895
525,exact,4.2162,0.03125,0,0,0,0,0
525,kimi,4.23075,0.03125,0,0,0,0,0
525,srd,4.22236,0.03125,0.910373,0.304021,0.734647,0.74598,0.734765
525,srd_f,4.22358,0.03125,0.740849,0.737782,0.727073,0.740118,0.736602
550,exact,4.33167,0,0,0,0,0,0
550,kimi,4.3522,0,0,0,0,0,0
550,srd,4.34983,0,0.908156,0.301855,0.728241,0.739014,0.728573
550,srd_f,4.35175,0,0.72525,0.731318,0.736051,0.730057,0.724802
575,exact,4.31888,0,0,0,0,0,0
575,kimi,4.32645,0,0,0,0,0,0
575,srd,4.31715,0,0.904481,0.300784,0.721873,0.731773,0.721971
575,srd_f,4.32098,0,0.735777,0.72841,0.731953,0.73054,0.731737
600,exact,4.16048,0,0,0,0,0,0
600,kimi,4.14749,0,0,0,0,0,0
600,srd,4.15105,0,0.900813,0.299302,0.715273,0.724747,0.715688
600,srd_f,4.15421,0,0.730135,0.722016,0.729799,0.729916,0.711568
