step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,10.2582,0,0,0,0,0,0
25,kimi,10.32,0,0,0,0,0,0
25,srd,10.3336,0,0.944047,0.906576,0.939856,0.93843,0
25,srd_f,10.2804,0,0.911891,0.911596,0.909571,0.913727,0
50,exact,5.01874,0,0,0,0,0,0
50,kimi,8.99837,0,0,0,0,0,0
50,srd,4.98372,0,0.944035,0.843994,0.930128,0.927035,0
50,srd_f,5.42378,0,0.889962,0.889109,0.890808,0.889209,0
75,exact,5.05662,0,0,0,0,0,0
75,kimi,5.6598,0,0,0,0,0,0
75,srd,5.07578,0,0.94859,0.738818,0.930488,0.924357,0
75,srd_f,5.10572,0,0.870048,0.864427,0.867766,0.861569,0
100,exact,4.86741,0.0625,0,0,0,0,0
100,kimi,4.52125,0.03125,0,0,0,0,0
100,srd,8.20422,0,0.93877,0.68511,0.921012,0.916665,0
100,srd_f,4.86856,0.0625,0.846681,0.841949,0.843534,0.838112,0
125,exact,4.8962,0.03125,0,0,0,0,0
125,kimi,4.1525,0.03125,0,0,0,0,0
125,srd,4.80202,0.03125,0.941134,0.522935,0.921735,0.917939,0
125,srd_f,4.84474,0.03125,0.821618,0.821359,0.827722,0.817854,0
150,exact,4.54297,0.0625,0,0,0,0,0
150,kimi,4.31914,0.0625,0,0,0,0,0
150,srd,4.83798,0.0625,0.938757,0.385715,0.916882,0.911582,0
150,srd_f,4.71898,0.0625,0.814609,0.808201,0.792068,0.812427,0
175,exact,4.36994,0,0,0,0,0,0
175,kimi,4.28653,0,0,0,0,0,0
175,srd,4.30362,0,0.935127,0.329343,0.913097,0.905582,0
175,srd_f,4.39082,0,0.818567,0.820619,0.824159,0.818717,0
200,exact,4.3493,0.0625,0,0,0,0,0
200,kimi,4.17921,0.0625,0,0,0,0,0
200,srd,4.35789,0.0625,0.933454,0.323835,0.904932,0.89529,0
200,srd_f,4.25959,0.0625,0.778295,0.790406,0.799354,0.789576,0
225,exact,4.26358,0,0,0,0,0,0
225,kimi,4.24961,0,0,0,0,0,0
225,srd,4.22378,0.03125,0.932775,0.31148,0.897074,0.887939,0
