step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,8.45528,0,0,0,0,0,0
25,kimi,9.0208,0,0,0,0,0,0
25,srd,9.21,0,0.944081,0.914068,0.932473,0.936977,0.931674
25,srd_f,6.27495,0.0625,0.919204,0.921975,0.920042,0.922919,0.921972
50,exact,4.87519,0,0,0,0,0,0
50,kimi,8.19846,0,0,0,0,0,0
50,srd,5.46931,0,0.951794,0.877888,0.924107,0.930033,0.912903
50,srd_f,4.91132,0,0.907624,0.905199,0.908435,0.904558,0.904732
75,exact,5.79042,0,0,0,0,0,0
75,kimi,5.28641,0,0,0,0,0,0
75,srd,5.01815,0,0.950599,0.803611,0.911811,0.920374,0.888447
75,srd_f,4.89904,0,0.895345,0.879037,0.875878,0.877288,0.881735
100,exact,4.93396,0,0,0,0,0,0
100,kimi,4.8628,0,0,0,0,0,0
100,srd,4.73275,0.03125,0.952319,0.713789,0.905983,0.915752,0.867321
100,srd_f,4.63478,0.03125,0.866989,0.867267,0.864633,0.864089,0.862213
125,exact,4.76193,0.03125,0,0,0,0,0
125,kimi,4.33832,0.03125,0,0,0,0,0
125,srd,4.79228,0.03125,0.952213,0.617746,0.902197,0.909621,0.848195
125,srd_f,4.58713,0.03125,0.832141,0.833251,0.835546,0.834418,0.827866
150,exact,4.50575,0,0,0,0,0,0
150,kimi,4.48785,0,0,0,0,0,0
150,srd,4.63619,0,0.95008,0.543275,0.891174,0.897055,0.835073
150,srd_f,4.31265,0,0.827719,0.820773,0.828388,0.822344,0.817023
175,exact,4.4071,0,0,0,0,0,0
175,kimi,4.10678,0,0,0,0,0,0
175,srd,4.09015,0.03125,0.911661,0.474738,0.876288,0.882621,0.820054
175,srd_f,4.13769,0,0.809853,0.807603,0.804576,0.806447,0.802082
200,exact,4.44913,0.03125,0,0,0,0,0
200,kimi,4.33231,0,0,0,0,0,0
200,srd,4.4113,0,0.900215,0.436537,0.865153,0.870246,0.811542
200,srd_f,4.34971,0,0.802316,0.811836,0.810006,0.815636,0.81558
225,exact,4.37632,0,0,0,0,0,0
225,kimi,4.24412,0.09375,0,0,0,0,0
225,srd,4.26301,0,0.929183,0.400776,0.863235,0.867683,0.80557
225,srd_f,4.26707,0.09375,0.795183,0.78316,0.77718,0.777697,0.791288
250,exact,4.20588,0,0,0,0,0,0
250,kimi,4.23588,0,0,0,0,0,0
250,srd,4.23455,0,0.931667,0.375934,0.858233,0.860448,0.796646
250,srd_f,4.21879,0,0.784921,0.770255,0.769537,0.769724,0.769459
275,exact,4.37068,0.03125,0,0,0,0,0
275,kimi,4.2846,0.03125,0,0,0,0,0
275,srd,4.32302,0,0.929386,0.368636,0.852209,0.854635,0.789982
275,srd_f,4.28201,0.03125,0.767335,0.771315,0.769593,0.777506,0.772932
300,exact,4.20598,0.0625,0,0,0,0,0
300,kimi,4.22442,0,0,0,0,0,0
300,srd,4.2087,0,0.926146,0.350556,0.841961,0.845196,0.783658
300,srd_f,4.22039,0,0.764569,0.770229,0.767386,0.771969,0.757001
325,exact,4.2195,0,0,0,0,0,0
325,kimi,4.19922,0,0,0,0,0,0
325,srd,4.23597,0,0.920386,0.33906,0.834039,0.837354,0.779354
325,srd_f,4.18222,0,0.770642,0.758842,0.759239,0.764677,0.75636
350,exact,4.28286,0,0,0,0,0,0
