step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.86327,0,0,0,0,0,0
25,kimi,4.86449,0,0,0,0,0,0
25,srd,4.86249,0,0.923104,0.90276,0.868859,0.871179,0
25,srd_f,4.86375,0,0.916779,0.914444,0.913719,0.914564,0
50,exact,4.83689,0,0,0,0,0,0
50,kimi,4.83659,0,0,0,0,0,0
50,srd,4.83716,0,0.846546,0.788938,0.747319,0.74955,0
50,srd_f,4.83781,0,0.863021,0.867378,0.869552,0.867105,0
75,exact,4.85938,0,0,0,0,0,0
75,kimi,4.85812,0,0,0,0,0,0
75,srd,4.88084,0,0.719588,0.68009,0.672825,0.671913,0
75,srd_f,4.8647,0,0.866966,0.867961,0.864109,0.870035,0
100,exact,4.81211,0,0,0,0,0,0
100,kimi,4.80767,0,0,0,0,0,0
100,srd,4.81187,0,0.555414,0.510331,0.518915,0.52733,0
100,srd_f,4.80805,0,0.877096,0.873502,0.867225,0.872569,0
125,exact,4.72349,0.03125,0,0,0,0,0
125,kimi,4.7154,0.03125,0,0,0,0,0
125,srd,4.72959,0.03125,0.377656,0.378813,0.412629,0.420495,0
125,srd_f,4.71918,0.03125,0.850382,0.847247,0.843424,0.848396,0
150,exact,4.75588,0,0,0,0,0,0
150,kimi,4.75711,0,0,0,0,0,0
150,srd,4.75879,0,0.303945,0.324457,0.350876,0.357417,0
150,srd_f,4.75627,0,0.842448,0.83701,0.840124,0.837343,0
175,exact,4.88431,0,0,0,0,0,0
175,kimi,4.8862,0,0,0,0,0,0
175,srd,4.88445,0,0.291018,0.308597,0.317304,0.322794,0
175,srd_f,4.88429,0,0.815384,0.824917,0.824608,0.824365,0
200,exact,4.85193,0,0,0,0,0,0
200,kimi,4.85147,0,0,0,0,0,0
200,srd,4.84247,0,0.288083,0.302183,0.305256,0.309142,0
200,srd_f,4.84458,0,0.818479,0.819842,0.816233,0.822524,0
225,exact,4.85276,0,0,0,0,0,0
225,kimi,4.86085,0,0,0,0,0,0
225,srd,4.85576,0,0.284903,0.295937,0.297834,0.300705,0
225,srd_f,4.85214,0,0.8219,0.817865,0.818655,0.817943,0
250,exact,4.80189,0.03125,0,0,0,0,0
250,kimi,4.80897,0,0,0,0,0,0
250,srd,4.80464,0,0.286725,0.294075,0.294471,0.296815,0
250,srd_f,4.80504,0,0.820565,0.810131,0.811207,0.809436,0
275,exact,4.78053,0.03125,0,0,0,0,0
275,kimi,4.78653,0.03125,0,0,0,0,0
275,srd,4.77997,0.03125,0.284218,0.291751,0.291415,0.292963,0
275,srd_f,4.78111,0.03125,0.800477,0.803275,0.798315,0.804144,0
300,exact,4.82121,0,0,0,0,0,0
300,kimi,4.81934,0,0,0,0,0,0
300,srd,4.81718,0,0.281135,0.289367,0.287756,0.289158,0
300,srd_f,4.8179,0,0.800162,0.799141,0.795717,0.801417,0
325,exact,4.75189,0.03125,0,0,0,0,0
325,kimi,4.75331,0.03125,0,0,0,0,0
325,srd,4.75041,0.03125,0.281735,0.288094,0.286301,0.28707,0
325,srd_f,4.75191,0.03125,0.798557,0.796101,0.801912,0.796424,0
350,exact,4.80703,0.03125,0,0,0,0,0
350,kimi,4.80718,0.03125,0,0,0,0,0
350,srd,4.80484,0.03125,0.281816,0.28725,0.285308,0.286152,0
350,srd_f,4.80414,0.03125,0.798252,0.790225,0.787884,0.787374,0
375,exact,4.79488,0,0,0,0,0,0
375,kimi,4.79112,0,0,0,0,0,0
375,srd,4.78867,0,0.280493,0.285636,0.283184,0.284017,0
375,srd_f,4.78992,0,0.788507,0.787499,0.797803,0.790915,0
400,exact,4.8251,0.03125,0,0,0,0,0
400,kimi,4.8183,0.03125,0,0,0,0,0
400,srd,4.82229,0.03125,0.281266,0.286061,0.2835,0.283492,0
400,srd_f,4.82039,0.03125,0.786931,0.785902,0.780616,0.782994,0
425,exact,4.73348,0.0625,0,0,0,0,0
425,kimi,4.73378,0.0625,0,0,0,0,0
425,srd,4.73281,0.0625,0.281362,0.285505,0.28338,0.28362,0
425,srd_f,4.73223,0.0625,0.784791,0.784019,0.777802,0.784259,0
450,exact,4.79241,0,0,0,0,0,0
450,kimi,4.79538,0,0,0,0,0,0
450,srd,4.79554,0,0.280193,0.285116,0.283017,0.283302,0
450,srd_f,4.79401,0,0.792664,0.782711,0.792383,0.784691,0
475,exact,4.80328,0,0,0,0,0,0
475,kimi,4.80518,0,0,0,0,0,0
475,srd,4.80294,0,0.280371,0.284481,0.283055,0.282989,0
475,srd_f,4.80327,0,0.812674,0.81218,0.81392,0.809162,0
500,exact,4.80827,0.03125,0,0,0,0,0
500,kimi,4.80976,0.03125,0,0,0,0,0
500,srd,4.80728,0.03125,0.279439,0.283982,0.282609,0.282455,0
500,srd_f,4.80954,0.03125,0.790714,0.793097,0.792714,0.790567,0
525,exact,4.8114,0,0,0,0,0,0
525,kimi,4.80869,0,0,0,0,0,0
525,srd,4.80378,0,0.28004,0.283571,0.282247,0.282002,0
525,srd_f,4.81194,0,0.755307,0.761306,0.762441,0.760779,0
550,exact,4.7813,0.03125,0,0,0,0,0
550,kimi,4.78462,0.03125,0,0,0,0,0
550,srd,4.7857,0.03125,0.28009,0.283527,0.282897,0.282553,0
550,srd_f,4.78258,0.03125,0.745226,0.748824,0.757735,0.748903,0
575,exact,4.78567,0,0,0,0,0,0
575,kimi,4.78431,0,0,0,0,0,0
575,srd,4.78377,0,0.280017,0.286721,0.287054,0.284924,0
575,srd_f,4.78488,0,0.743701,0.740273,0.747377,0.744143,0
600,exact,4.79361,0,0,0,0,0,0
600,kimi,4.79597,0,0,0,0,0,0
600,srd,4.79408,0.03125,0.279631,0.284794,0.285713,0.283653,0
600,srd_f,4.79366,0,0.739388,0.736441,0.750084,0.735848,0
