step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.9989,0,0,0,0,0,0
25,kimi,8.58832,0,0,0,0,0,0
25,srd,5.27917,0,0.944384,0.907204,0.928165,0.93211,0.93257
25,srd_f,5.65672,0,0.92347,0.924235,0.924881,0.925332,0.920162
50,exact,8.69317,0,0,0,0,0,0
50,kimi,7.84657,0,0,0,0,0,0
50,srd,5.14697,0,0.949523,0.846636,0.922267,0.927123,0.91508
50,srd_f,6.01399,0,0.909572,0.907728,0.912786,0.907466,0.907934
75,exact,5.05534,0,0,0,0,0,0
75,kimi,4.93853,0,0,0,0,0,0
75,srd,4.83895,0,0.952558,0.783937,0.915455,0.921491,0.902245
75,srd_f,4.92263,0,0.888397,0.883439,0.882627,0.881696,0.886468
100,exact,4.90195,0,0,0,0,0,0
100,kimi,4.61946,0.03125,0,0,0,0,0
100,srd,4.4322,0,0.953004,0.690769,0.905082,0.911474,0.881192
100,srd_f,4.64025,0,0.876658,0.873485,0.871637,0.86965,0.870849
125,exact,4.82425,0,0,0,0,0,0
125,kimi,4.3704,0.03125,0,0,0,0,0
125,srd,4.35092,0.03125,0.946362,0.66394,0.898383,0.900228,0.873538
125,srd_f,4.49201,0.03125,0.85667,0.847369,0.852942,0.84836,0.84906
150,exact,4.53102,0,0,0,0,0,0
150,kimi,4.63339,0,0,0,0,0,0
150,srd,4.39999,0,0.943209,0.571517,0.890404,0.892111,0.863546
150,srd_f,4.29613,0,0.831636,0.835557,0.842059,0.839367,0.827672
175,exact,4.15996,0,0,0,0,0,0
175,kimi,4.11699,0,0,0,0,0,0
175,srd,4.12779,0,0.93904,0.494366,0.879912,0.880538,0.845309
175,srd_f,4.1268,0,0.816495,0.815665,0.806865,0.813024,0.815668
200,exact,4.31979,0,0,0,0,0,0
200,kimi,4.33231,0,0,0,0,0,0
200,srd,4.32532,0,0.94071,0.44492,0.866997,0.868875,0.836091
200,srd_f,4.36551,0,0.788793,0.795153,0.773782,0.797866,0.793058
225,exact,4.23145,0.09375,0,0,0,0,0
225,kimi,4.24447,0.09375,0,0,0,0,0
225,srd,4.27314,0,0.93919,0.405653,0.858123,0.860116,0.825559
225,srd_f,4.25925,0,0.80672,0.804395,0.792719,0.801407,0.802891
250,exact,4.31278,0,0,0,0,0,0
250,kimi,4.23439,0,0,0,0,0,0
250,srd,4.20831,0,0.938598,0.379172,0.851706,0.853623,0.815909
250,srd_f,4.24366,0,0.775754,0.788712,0.789422,0.787014,0.777143
275,exact,4.30383,0,0,0,0,0,0
275,kimi,4.27926,0.03125,0,0,0,0,0
275,srd,4.29215,0.03125,0.936956,0.358693,0.846047,0.847295,0.808499
275,srd_f,4.28763,0,0.77938,0.781901,0.780808,0.78378,0.790031
300,exact,4.21714,0,0,0,0,0,0
300,kimi,4.20103,0,0,0,0,0,0
300,srd,4.2153,0,0.935842,0.347442,0.841466,0.842277,0.803283
300,srd_f,4.21126,0,0.864162,0.863239,0.862966,0.863785,0.863127
325,exact,4.21474,0,0,0,0,0,0
325,kimi,4.1967,0,0,0,0,0,0
325,srd,4.20697,0,0.934507,0.335503,0.837692,0.838319,0.799353
325,srd_f,4.19552,0,0.79663,0.794964,0.7891,0.798093,0.787921
350,exact,4.25782,0,0,0,0,0,0
350,kimi,4.24013,0,0,0,0,0,0
350,srd,4.24675,0,0.932544,0.327919,0.830667,0.832243,0.796253
350,srd_f,4.24642,0,0.769122,0.768551,0.766092,0.774844,0.764288
375,exact,4.25987,0.03125,0,0,0,0,0
375,kimi,4.27959,0.03125,0,0,0,0,0
375,srd,4.28528,0.03125,0.932151,0.322163,0.82525,0.826758,0.793592
375,srd_f,4.26985,0,0.751378,0.761662,0.772227,0.760544,0.766792
400,exact,4.25676,0,0,0,0,0,0
400,kimi,4.21842,0,0,0,0,0,0
400,srd,4.22268,0,0.930327,0.314618,0.82061,0.822582,0.789788
400,srd_f,4.22562,0,0.754781,0.755955,0.755989,0.751922,0.763231
425,exact,4.28096,0.03125,0,0,0,0,0
425,kimi,4.27413,0.03125,0,0,0,0,0
425,srd,4.29272,0.03125,0.929179,0.313826,0.816303,0.817781,0.785515
425,srd_f,4.29066,0.03125,0.741019,0.747927,0.756094,0.748596,0.750141
450,exact,4.1524,0.0625,0,0,0,0,0
450,kimi,4.14659,0.0625,0,0,0,0,0
450,srd,4.14659,0.0625,0.928517,0.308649,0.811745,0.81278,0.781891
450,srd_f,4.15545,0.0625,0.75504,0.746495,0.754192,0.745837,0.737346
475,exact,4.0914,0.0625,0,0,0,0,0
475,kimi,4.09215,0.03125,0,0,0,0,0
475,srd,4.10033,0.03125,0.927522,0.304697,0.807914,0.808313,0.77772
475,srd_f,4.09627,0.03125,0.757306,0.74092,0.752844,0.741169,0.742267
500,exact,4.18429,0.0625,0,0,0,0,0
500,kimi,4.18385,0,0,0,0,0,0
500,srd,4.19715,0,0.925791,0.303451,0.802697,0.802904,0.773003
500,srd_f,4.1775,0.03125,0.742601,0.737238,0.749292,0.743117,0.733589
525,exact,4.22425,0.03125,0,0,0,0,0
525,kimi,4.23087,0.03125,0,0,0,0,0
525,srd,4.22734,0.03125,0.924237,0.302207,0.797856,0.796705,0.765702
525,srd_f,4.24081,0.03125,0.732469,0.743723,0.743316,0.745243,0.743669
550,exact,4.32843,0,0,0,0,0,0
550,kimi,4.34798,0,0,0,0,0,0
550,srd,4.33686,0,0.923486,0.300424,0.793254,0.791068,0.760994
550,srd_f,4.33008,0,0.718349,0.733937,0.734201,0.730086,0.73544
575,exact,4.32384,0,0,0,0,0,0
575,kimi,4.31934,0,0,0,0,0,0
575,srd,4.32107,0,0.922106,0.299686,0.788018,0.784725,0.755248
575,srd_f,4.31907,0,0.736607,0.729501,0.742041,0.73193,0.739056
600,exact,4.1385,0,0,0,0,0,0
600,kimi,4.15567,0,0,0,0,0,0
600,srd,4.16568,0,0.920147,0.298573,0.783148,0.779144,0.749666
600,srd_f,4.15489,0,0.724714,0.725722,0.738357,0.728363,0.731512
