step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
650,exact,2.15989,0.03125,0,0,0,0,0
650,kimi,2.16498,0.03125,0,0,0,0,0
650,srd,2.15069,0.03125,0.657883,0.28368,0.458925,0.513193,0
650,srd_f,2.15185,0.03125,0.719936,0.725488,0.728248,0.71471,0
675,exact,2.23522,0.09375,0,0,0,0,0
675,kimi,2.15972,0.09375,0,0,0,0,0
675,srd,2.13926,0.09375,0.657807,0.284061,0.451047,0.504504,0
675,srd_f,2.14254,0.09375,0.710081,0.723627,0.716122,0.735396,0
700,exact,2.20339,0.125,0,0,0,0,0
700,kimi,2.09239,0.03125,0,0,0,0,0
700,srd,2.09981,0.03125,0.649447,0.284485,0.441096,0.492823,0
700,srd_f,2.09057,0.03125,0.730359,0.720486,0.729279,0.714411,0
725,exact,2.0547,0.15625,0,0,0,0,0
725,kimi,2.0223,0.15625,0,0,0,0,0
725,srd,2.02406,0.15625,0.642226,0.283402,0.432431,0.483739,0
725,srd_f,2.01777,0.15625,0.719989,0.714608,0.716844,0.720722,0
750,exact,2.19653,0.03125,0,0,0,0,0
750,kimi,2.18196,0.03125,0,0,0,0,0
750,srd,2.17102,0.03125,0.635454,0.2844,0.424363,0.47598,0
750,srd_f,2.18394,0.03125,0.708225,0.711515,0.725204,0.726098,0
775,exact,2.18865,0.03125,0,0,0,0,0
775,kimi,2.19682,0.03125,0,0,0,0,0
775,srd,2.19868,0.03125,0.630346,0.283153,0.413791,0.465442,0
775,srd_f,2.18976,0.03125,0.70725,0.709065,0.699123,0.713765,0
800,exact,2.16698,0.03125,0,0,0,0,0
800,kimi,2.163,0.03125,0,0,0,0,0
800,srd,2.16083,0.03125,0.62578,0.283475,0.405261,0.455,0
800,srd_f,2.15848,0.03125,0.75128,0.743422,0.745719,0.745681,0
825,exact,2.15628,0.15625,0,0,0,0,0
825,kimi,2.15165,0.15625,0,0,0,0,0
825,srd,2.1491,0.15625,0.621495,0.284071,0.397637,0.447294,0
825,srd_f,2.15051,0.15625,0.770041,0.766697,0.763727,0.787159,0
850,exact,2.21044,0.03125,0,0,0,0,0
850,kimi,2.19753,0.03125,0,0,0,0,0
850,srd,2.19113,0.03125,0.617091,0.28293,0.389542,0.436281,0
850,srd_f,2.21892,0.03125,0.727557,0.732394,0.7259,0.725093,0
875,exact,2.13322,0.03125,0,0,0,0,0
875,kimi,2.14367,0.03125,0,0,0,0,0
875,srd,2.14478,0.09375,0.612298,0.28224,0.381873,0.426169,0
875,srd_f,2.15768,0.03125,0.734355,0.724088,0.717314,0.727374,0
900,exact,2.09489,0.15625,0,0,0,0,0
900,kimi,2.08449,0.15625,0,0,0,0,0
900,srd,2.0952,0.15625,0.611126,0.283331,0.376026,0.418726,0
900,srd_f,2.08668,0.1875,0.7816,0.777632,0.781741,0.769824,0
925,exact,2.13509,0.09375,0,0,0,0,0
925,kimi,2.13054,0.0625,0,0,0,0,0
925,srd,2.1247,0.03125,0.607449,0.282581,0.365046,0.40484,0
925,srd_f,2.12571,0.0625,0.711827,0.70384,0.709046,0.692751,0
950,exact,2.21669,0,0,0,0,0,0
950,kimi,2.20652,0.03125,0,0,0,0,0
950,srd,2.21412,0.03125,0.606861,0.282605,0.358542,0.394125,0
950,srd_f,2.21927,0.03125,0.702276,0.687144,0.684988,0.690782,0
975,exact,2.14293,0.15625,0,0,0,0,0
975,kimi,2.13423,0.15625,0,0,0,0,0
975,srd,2.13939,0.15625,0.600913,0.282259,0.347323,0.378473,0
975,srd_f,2.14031,0.15625,0.671939,0.670054,0.658623,0.668961,0
1000,exact,2.08593,0.15625,0,0,0,0,0
1000,kimi,2.08304,0.15625,0,0,0,0,0
1000,srd,2.08293,0.15625,0.597033,0.283082,0.33905,0.365612,0
1000,srd_f,2.08124,0.15625,0.670044,0.660693,0.670096,0.680087,0
1025,exact,2.07379,0.15625,0,0,0,0,0
1025,kimi,2.06286,0.15625,0,0,0,0,0
1025,srd,2.06295,0.15625,0.588691,0.284214,0.329322,0.351247,0
1025,srd_f,2.06041,0.15625,0.669497,0.656861,0.65722,0.652286,0
1050,exact,2.20965,0.09375,0,0,0,0,0
1050,kimi,2.21202,0.09375,0,0,0,0,0
