step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.8186,0,0,0,0,0,0
25,kimi,4.81545,0,0,0,0,0,0
25,srd,4.81767,0,0.907302,0.903712,0.873957,0.873326,0.923706
25,srd_f,4.81801,0,0.917066,0.915121,0.91424,0.916059,0.915359
50,exact,4.81716,0,0,0,0,0,0
50,kimi,4.81249,0,0,0,0,0,0
50,srd,4.82295,0,0.781962,0.79159,0.749922,0.749338,0.863795
50,srd_f,4.81556,0,0.875075,0.880754,0.882152,0.879249,0.878659
75,exact,4.8021,0,0,0,0,0,0
75,kimi,4.81039,0,0,0,0,0,0
75,srd,4.79997,0,0.6422,0.674798,0.660931,0.661926,0.821653
75,srd_f,4.80531,0,0.863907,0.861621,0.862129,0.863419,0.863211
100,exact,4.80322,0,0,0,0,0,0
100,kimi,4.80508,0.03125,0,0,0,0,0
100,srd,4.81054,0,0.447938,0.54977,0.549703,0.556435,0.76397
100,srd_f,4.80603,0.03125,0.836457,0.83871,0.850737,0.83801,0.841056
125,exact,4.78111,0,0,0,0,0,0
125,kimi,4.78113,0,0,0,0,0,0
125,srd,4.77846,0,0.340886,0.443545,0.461191,0.461536,0.693342
125,srd_f,4.78137,0,0.80722,0.811782,0.813514,0.813799,0.812571
150,exact,4.79783,0,0,0,0,0,0
150,kimi,4.80536,0,0,0,0,0,0
150,srd,4.80767,0,0.337554,0.406166,0.421941,0.421248,0.64078
150,srd_f,4.80027,0,0.798774,0.800276,0.808163,0.801088,0.803598
175,exact,4.83941,0,0,0,0,0,0
175,kimi,4.84544,0,0,0,0,0,0
175,srd,4.84451,0,0.392501,0.440203,0.459794,0.456502,0.63107
175,srd_f,4.84628,0,0.788629,0.78988,0.795603,0.789851,0.788029
200,exact,4.76653,0,0,0,0,0,0
200,kimi,4.77226,0.0625,0,0,0,0,0
200,srd,4.77255,0.03125,0.314642,0.356602,0.355726,0.349949,0.618414
200,srd_f,4.77045,0.03125,0.785243,0.784231,0.788449,0.786228,0.782845
225,exact,4.81557,0,0,0,0,0,0
225,kimi,4.81748,0,0,0,0,0,0
225,srd,4.81934,0,0.299222,0.330259,0.327481,0.319594,0.597407
225,srd_f,4.81948,0,0.780453,0.778877,0.782557,0.776248,0.783374
250,exact,4.8051,0.03125,0,0,0,0,0
250,kimi,4.81242,0.03125,0,0,0,0,0
250,srd,4.81451,0.03125,0.29671,0.320755,0.317503,0.309793,0.581443
250,srd_f,4.81502,0.03125,0.775082,0.775306,0.775296,0.776767,0.776001
275,exact,4.7845,0.03125,0,0,0,0,0
275,kimi,4.79226,0.03125,0,0,0,0,0
275,srd,4.7942,0.03125,0.292764,0.311478,0.308237,0.300645,0.572578
275,srd_f,4.79193,0.03125,0.777408,0.780837,0.78004,0.779802,0.77952
300,exact,4.78336,0,0,0,0,0,0
300,kimi,4.79123,0,0,0,0,0,0
300,srd,4.78927,0,0.289793,0.306334,0.302902,0.295969,0.566584
300,srd_f,4.78955,0,0.785855,0.776173,0.784591,0.77285,0.777904
325,exact,4.7878,0,0,0,0,0,0
325,kimi,4.78925,0,0,0,0,0,0
325,srd,4.78816,0,0.293248,0.308777,0.317964,0.317732,0.562416
325,srd_f,4.78471,0,0.906245,0.904594,0.903476,0.905109,0.904253
350,exact,4.79023,0,0,0,0,0,0
350,kimi,4.79413,0,0,0,0,0,0
350,srd,4.79675,0,0.290877,0.307096,0.315105,0.313422,0.567603
350,srd_f,4.7918,0,0.810589,0.812691,0.814855,0.812886,0.814158
375,exact,4.8102,0,0,0,0,0,0
375,kimi,4.8041,0,0,0,0,0,0
375,srd,4.80637,0,0.289234,0.304054,0.308086,0.302868,0.564685
375,srd_f,4.80187,0,0.77246,0.773486,0.778654,0.776613,0.767724
400,exact,4.82454,0,0,0,0,0,0
400,kimi,4.8297,0,0,0,0,0,0
400,srd,4.82524,0,0.337236,0.380717,0.375872,0.378785,0.586726
400,srd_f,4.82303,0,0.757469,0.757784,0.752826,0.757517,0.753002
425,exact,4.77224,0,0,0,0,0,0
425,kimi,4.77555,0,0,0,0,0,0
425,srd,4.7758,0,0.316957,0.329345,0.343913,0.336756,0.572188
425,srd_f,4.77166,0,0.739742,0.752372,0.748346,0.750191,0.756493
450,exact,4.81395,0,0,0,0,0,0
450,kimi,4.81674,0,0,0,0,0,0
450,srd,4.81328,0,0.293139,0.310064,0.331531,0.320319,0.569905
450,srd_f,4.80635,0,0.750224,0.745864,0.756326,0.744418,0.742751
475,exact,4.79909,0.03125,0,0,0,0,0
475,kimi,4.79326,0,0,0,0,0,0
475,srd,4.79761,0.03125,0.292987,0.305269,0.331666,0.313804,0.561904
475,srd_f,4.79371,0.03125,0.735211,0.742565,0.754662,0.741117,0.734332
500,exact,4.79649,0.03125,0,0,0,0,0
500,kimi,4.79432,0.03125,0,0,0,0,0
500,srd,4.79288,0.03125,0.292093,0.305704,0.331225,0.309336,0.557237
500,srd_f,4.79376,0.03125,0.727883,0.739363,0.729472,0.733126,0.742913
525,exact,4.79782,0,0,0,0,0,0
525,kimi,4.79195,0,0,0,0,0,0
525,srd,4.78934,0,0.291902,0.304345,0.322067,0.304902,0.550091
525,srd_f,4.79274,0,0.737866,0.735711,0.736606,0.735989,0.730965
550,exact,4.79232,0,0,0,0,0,0
550,kimi,4.78899,0,0,0,0,0,0
550,srd,4.79271,0,0.289263,0.301753,0.315031,0.301578,0.548488
550,srd_f,4.78976,0,0.75681,0.753824,0.745425,0.753298,0.761973
575,exact,4.76399,0.03125,0,0,0,0,0
575,kimi,4.75584,0.03125,0,0,0,0,0
575,srd,4.75833,0.03125,0.286522,0.298291,0.308687,0.297577,0.543972
575,srd_f,4.75935,0.03125,0.764809,0.766233,0.768482,0.764314,0.766414
600,exact,4.84072,0,0,0,0,0,0
600,kimi,4.83048,0,0,0,0,0,0
600,srd,4.8332,0,0.286424,0.29824,0.305245,0.296062,0.542174
600,srd_f,4.83097,0,0.736363,0.741325,0.744748,0.742545,0.749506
